pressure,loading
1.0,4.843658
2.26,9.974224
3.51,14.00236
4.77,17.245986
6.02,20.11918
7.28,22.678148
8.53,24.985132
9.79,27.218518
11.04,29.494612
12.3,31.580816
13.55,33.962946
14.81,36.53866
16.06,39.29964
17.32,42.737064
18.57,47.728546
19.0,50.87518283
19.2,52.26454646
19.5,58.44883535
19.9,74.73709293
20.2,345.752
20.45,344.958
21.74,346.372348
22.68,347.2809
24.42,348.023836
26.11,348.208756
28.62,350.071976
31.13,351.011174
33.64,352.226078
36.15,352.491478
38.66,353.44017
42.43,353.763504
44.94,355.316284
47.45,354.979438
49.96,356.385176
52.47,356.507412
54.98,356.727496
57.49,357.086796
60.0,357.652828
