pressure,loading
1.0,0.239226
22.26,5.014252
43.51,9.240828
64.77,12.983264
86.02,16.381046
107.28,19.19642
128.53,22.018856
149.79,24.682876
171.04,27.477968
192.3,30.302762
213.55,33.250948
234.81,36.207724
256.06,39.479306
277.32,43.09022
298.57,47.67712
319.0,52.17794
319.83,52.295612
327.79,54.69168
336.57,57.445952
341.09,59.139076
345.36,60.45647
354.14,64.439208
362.34,68.444588
362.93,68.137562
371.71,73.38206
380.5,80.454544
383.6,82.665118
389.29,87.98551
398.07,99.30132
404.85,108.432562
405.0,109.7497293
406.86,112.584264
410.0,117.3713687
415.64,123.736402
420.0,130.3198051
424.43,135.801346
426.11,136.002954
430.0,142.2338798
433.21,146.435648
435.0,147.3519121
440.0,314.8438596
445.0,323.217
450.0,323.9813333
452.0,323.988
462.86,325.614028
469.14,325.458274
481.71,326.838404
494.29,327.13857
513.14,328.629024
525.71,329.537262
532.0,330.077524
532.38,329.581502
553.64,331.123662
574.89,332.096076
596.15,332.410746
617.4,333.320796
638.66,333.717944
659.91,334.592506
681.17,335.261784
702.43,336.12658
723.68,336.456488
744.94,337.24763
766.19,337.328818
787.45,338.23074
808.7,338.69973
829.96,339.354806
851.21,338.899554
872.47,340.507646
893.72,340.202274
914.98,340.885382
936.23,341.15444
957.49,341.54677
978.74,341.780774
1000.0,342.404494
