pressure,loading
1,0.003929521
5000.9,17.44921688
10000.8,35.22458401
15000.7,53.83265238
20000.6,75.7911733
25000.5,98.48201404
30000.4,118.9033778
35000.3,142.2765263
40000.2,174.3960742
45000.1,210.872032
50000,271.7613898
50200,280.5191634
50400,317.2978087
50600,336.3322515
51000,367.6458547
51363.96,508.1416792
51500,587.5334065
52540,894.9290668
52720,1073.608288
53000,1131.230523
56000,1164.360386
60400,1196.318252
64800,1226.074729
69200,1248.463854
73600,1265.246767
78000,1275.215962
82400,1292.294375
86800,1298.092205
91200,1310.072028
95600,1318.387967
100000,1323.961814
