pressure,loading
1.0,0.063454
91.9,5.709508
182.79,11.16342
273.69,16.261254
364.58,21.065316
455.48,25.943296
546.37,31.198216
637.27,36.610888
728.16,42.32465
819.06,48.54821
909.95,54.79029
1000.85,61.651082
1091.74,68.979436
1182.64,76.615978
1273.53,84.287392
1364.43,92.547866
1455.32,100.086026
1546.22,107.665638
1637.11,114.846974
1728.01,122.101046
1818.9,127.961202
1909.8,134.0183
2000.69,139.158504
2091.59,144.329648
2182.48,148.65442
2273.38,152.380364
2364.27,156.368086
2455.17,159.42583
2546.06,163.171086
2636.96,166.04146
2727.85,169.17249
2818.75,171.893336
2909.64,174.49189
3000.54,177.336
3091.43,179.636642
3182.33,182.33466
3273.22,184.628972
3364.12,187.005042
3455.01,189.650194
3545.91,192.166898
3636.8,194.64428
3727.7,196.845742
3818.59,199.425688
3909.49,202.07199
4000.38,204.751356
4091.28,206.943374
4182.17,209.736626
4273.07,212.87501
4363.97,216.4066
4454.86,218.788534
4545.76,221.972286
4636.65,226.82232
4727.55,231.268412
4818.44,234.6678
4909.34,241.881272
4954.78,244.888638
4985.0,266.1106313
5000.23,286.725662
5029.55,314.7855061
5045.68,349.647462
5080.0,376.9420727
5091.13,382.695352
5136.57,400.945468
5182.02,425.538516
5272.92,433.124352
5363.81,437.649948
5454.71,441.308242
5545.6,445.206828
5636.5,447.971862
5727.39,449.6
5818.29,453.761318
5909.18,455.518976
6000.08,456.776354
6090.97,458.167174
6181.87,459.971618
6272.76,461.731248
6363.66,462.997912
6454.55,464.222828
