pressure,loading
1.0,0.00032
8696.608696,2.39558
17392.21739,4.7895
26087.82609,7.15896
34783.43478,9.5944
43479.04348,12.14026
52174.65217,14.95418
60870.26087,17.19594
69565.86957,19.54014
78261.47826,22.34854
86957.08696,25.47958
95652.69565,28.4929
104348.3043,30.97634
113043.913,35.54334
121739.5217,38.89876
130435.1304,41.92776
139130.7391,46.3904
147826.3478,50.71838
156521.9565,55.4049
165217.5652,59.61712
173913.1739,66.01096
182608.7826,72.19362
191304.3913,82.77642
200000.0,92.71742
202173.913,95.20549
204347.8261,99.427125
206521.7391,104.19409
208695.6522,112.97638
210869.5652,117.24072
213043.4783,132.99434
215217.3913,153.352005
215807.7,157.519027
217391.3043,174.038955
219565.2174,189.56815
221739.1304,207.927635
223913.0435,218.10778
226086.9565,227.76989
228260.8696,231.144995
230434.7826,238.159175
232608.6957,239.820595
234782.6087,243.23171
236956.5217,246.27507
239130.4348,249.85348
241304.3478,250.967025
243478.2609,253.91415
245652.1739,255.0099
247826.087,257.037385
250000.0,258.04742
255000.0,261.41594
260000.0,263.29282
265000.0,267.06248
270000.0,269.765
275000.0,270.91456
280000.0,271.14714
285000.0,275.29284
290000.0,275.98024
295000.0,277.70288
300000.0,278.31778
305000.0,279.39362
310000.0,281.4251
315000.0,280.88412
320000.0,283.1296
325000.0,284.7904
330000.0,285.21288
335000.0,286.24434
340000.0,287.52634
345000.0,289.19034
350000.0,290.19564
