pressure,loading
1.0,0.00072
10870.52174,6.02404
32609.56522,18.36062
54348.6087,30.16304
76087.65217,43.6833
97826.69565,58.01892
119565.7391,72.51524
130435.2609,79.55012
152174.3043,98.60282
173913.3478,115.7064
195652.3913,138.17986
217391.4348,161.37106
228260.9565,180.848
239130.4783,208.00412
239500.0,207.914094
243000.0,221.704772
246500.0,240.940536
250000.0,283.49582
250994.4,292.210468
253500.0,317.00694
257000.0,349.953618
260500.0,373.584512
264000.0,385.14751
264545.4545,386.27996
278090.9091,411.39704
291636.3636,422.14886
305181.8182,431.42506
318727.2727,437.67664
332272.7273,441.79714
345818.1818,447.75094
359363.6364,451.84592
372909.0909,455.73738
386454.5455,457.0665
400000.0,460.3452
401000.0,460.44442
409652.1739,463.00136
418304.3478,463.3786
426956.5217,466.01024
435608.6957,467.30864
444260.8696,468.31342
452913.0435,469.3355
461565.2174,470.846
470217.3913,471.50816
478869.5652,472.7637
487521.7391,473.30252
496173.913,476.0653
504826.087,475.72658
513478.2609,477.98596
522130.4348,478.7593
530782.6087,478.87276
539434.7826,479.50718
548086.9565,482.43192
556739.1304,482.1256
565391.3043,482.47844
574043.4783,483.03014
