pressure,loading
1.0,0.000135556
17022.25532,2.610675556
34043.51064,5.232815556
51064.76596,7.855304444
68086.02128,10.47288889
85107.2766,13.14896667
102128.5319,15.63955111
119149.7872,18.12284222
136171.0426,20.79342889
153192.2979,23.34551778
170213.5532,25.86503556
187234.8085,28.64923333
204256.0638,31.40683556
221277.3191,34.42720444
238298.5745,37.33714
255319.8298,40.24248222
272341.0851,43.56875333
289362.3404,46.70434222
306383.5957,49.83109556
323404.8511,53.18302889
340426.1064,56.66234667
357447.3617,60.10439778
374468.617,63.81488
391489.8723,67.23253333
408511.1277,71.31656889
425532.383,75.29198444
442553.6383,79.73667556
459574.8936,84.27823111
476596.1489,88.60386667
493617.4043,93.48376222
510638.6596,98.26603111
527659.9149,104.3763778
544681.1702,110.0631356
561702.4255,116.3807022
578723.6809,122.9342089
595744.9362,131.1874022
612766.1915,140.1439156
629787.4468,151.2279467
646808.7021,163.9575111
663829.9574,184.7573156
680851.2128,223.3944178
692700.0,258.2520889
697872.4681,275.98856
714893.7234,326.4772867
731914.9787,351.9961333
748936.234,366.7963533
765957.4894,376.4739378
782978.7447,385.6397267
800000.0,391.54702
830000.0,399.3978
897000.0,418.2523
964000.0,425.6386
1098000.0,441.1094
1232000.0,450.6465
1366000.0,458.6857
1500000.0,464.1441
