pressure,loading
1.0,0.0012
10870.52174,13.54424
32609.56522,42.36094
54348.6087,73.64166
76087.65217,114.5027
86000.0,134.8228145
93304.34783,154.743876
96434.78261,165.36603
97500.0,241.301005
97519.56522,284.9188488
97974.3,325.3568653
99052.17391,349.2555675
99246.80851,427.388664
99250.43478,445.2299663
101042.5532,450.451682
106878.7234,460.675412
116306.383,470.126678
130435.2609,480.83576
152174.3043,490.199
173913.3478,498.43866
195652.3913,502.54562
217391.4348,508.4566
228260.9565,511.0815
239130.4783,511.0568
250000.0,515.7891
264545.4545,515.86922
278090.9091,518.23562
291636.3636,518.83814
305181.8182,521.6286
318727.2727,524.12044
332272.7273,524.81242
345818.1818,526.28324
359363.6364,527.65934
372909.0909,530.33384
386454.5455,529.68358
400000.0,529.8057
401000.0,531.30138
409652.1739,530.69536
418304.3478,532.06356
426956.5217,533.01902
435608.6957,532.77424
444260.8696,534.28264
452913.0435,534.3599
461565.2174,535.77856
470217.3913,535.3855
478869.5652,536.76968
487521.7391,535.18466
496173.913,537.12546
504826.087,537.73272
513478.2609,537.59046
522130.4348,537.58964
530782.6087,538.04832
539434.7826,541.34546
548086.9565,539.37836
556739.1304,540.08916
565391.3043,539.46536
574043.4783,543.58218
