pressure,loading
1.0,0.00022
10870.52174,2.15018
32609.56522,6.6093
54348.6087,10.77038
76087.65217,15.29646
97826.69565,19.35532
119565.7391,23.7892
130435.2609,26.12108
152174.3043,30.27584
173913.3478,34.00852
195652.3913,40.37518
217391.4348,45.76842
228260.9565,48.33624
239130.4783,51.02676
250000.0,53.46206
251000.0,54.1072
264545.4545,57.61314
278090.9091,61.48274
291636.3636,65.70288
305181.8182,68.85704
318727.2727,74.18016
332272.7273,77.25178
345818.1818,82.26986
359363.6364,88.18968
372909.0909,92.75792
386454.5455,97.79686
400000.0,103.67122
401000.0,104.04776
409652.1739,109.09212
418304.3478,112.86292
426956.5217,117.01168
435608.6957,123.50462
444260.8696,130.01884
452913.0435,134.63528
461565.2174,139.68022
470217.3913,157.37066
478869.5652,171.3976
478900.0,173.772642
481227.2727,183.130276
483554.5455,192.831602
485881.8182,207.543314
488209.0909,269.618402
490536.3636,297.409764
492863.6364,325.96234
495190.9091,346.673962
497518.1818,359.323506
499845.4545,369.79826
502172.7273,376.89022
504826.087,384.87782
513478.2609,392.0742
522130.4348,399.41926
530782.6087,405.95268
539434.7826,410.72028
548086.9565,412.33364
556739.1304,415.98764
565391.3043,420.33464
574043.4783,421.86458
582695.6522,424.3377
591347.8261,428.80642
600000.0,429.56008
