pressure,loading
1.0,1.24719
7.36,8.229226
13.72,13.73743
20.09,18.088904
26.45,21.868668
32.81,25.385172
39.17,28.721104
45.53,32.236054
51.89,35.825092
58.26,40.374384
64.62,45.563664
70.98,52.875258
75.0,63.244672
77.0,72.88852222
78.0,83.13796263
78.58,88.73414
79.0,97.883272
79.5,336.98
83.0,337.885
84.5,337.8406667
90.0,339.325066
90.06,339.713506
96.43,340.644372
102.79,341.004262
109.15,342.431422
115.51,343.63617
121.87,344.040804
128.23,345.213672
134.6,346.284242
140.96,346.289118
147.32,346.946014
153.68,347.43287
160.04,348.098356
166.4,348.150886
172.77,349.229524
179.13,349.360116
185.49,349.730336
191.85,350.14493
198.21,350.215378
204.57,351.107092
210.94,351.241314
217.3,351.639434
223.66,352.36238
230.02,352.424482
236.38,352.272068
242.74,353.361288
249.11,353.502796
255.47,353.523568
261.83,353.09489
268.19,354.0039
274.55,353.67526
280.91,353.99648
287.28,354.24722
293.64,354.562666
300.0,354.81553
