pressure,loading
1.0,0.022604
210.78,4.740012
420.55,9.335158
630.33,13.81239
840.1,18.15501
1049.88,22.271768
1259.66,26.503016
1469.43,31.084596
1679.21,35.708568
1888.99,40.65179
2098.76,45.737456
2308.54,50.905358
2518.31,56.34745
2728.09,62.000036
2937.87,67.91013
3147.64,73.786056
3357.42,79.871582
3567.2,85.823208
3776.97,91.96591
3986.75,97.751626
4196.52,103.95266
4406.3,109.615854
4616.08,115.04454
4825.85,120.822286
5035.63,125.549082
5245.41,130.395542
5455.18,135.061202
5664.96,139.34331
5874.73,143.34372
6084.51,147.26004
6294.29,150.890098
6504.06,154.279142
6713.84,157.848474
6923.62,161.120938
7133.39,163.697744
7343.17,166.986356
7552.94,169.931636
7762.72,172.75473
7972.5,175.284546
8182.27,177.893618
8392.05,180.660058
8601.83,183.531434
8811.6,185.70065
9021.38,188.422336
9231.15,190.962286
9440.93,193.418272
9650.71,196.08123
9860.48,198.608852
10070.26,201.224822
10280.03,203.842096
10489.81,206.326322
10699.59,209.077962
10909.36,211.669528
11119.14,214.319532
11328.92,217.67363
11538.69,220.36593
11748.47,224.030652
11958.24,227.377326
12168.02,231.064316
12377.8,234.988394
12587.57,239.023302
12797.35,243.736306
13007.13,249.254312
13216.9,258.021842
13321.79,259.87625
13426.68,268.720372
13531.57,272.368966
13636.45,279.110244
13700.0,280.0072869
13741.34,280.48369
13846.23,290.197282
14065.2,329.0643818
14160.9,351.922088
14370.0,371.7204071
14475.56,383.960446
14895.11,401.955178
15133.33,410.34273
15400.0,417.016586
15666.67,422.766074
15933.33,426.926976
16200.0,430.476192
16466.67,433.964364
16733.33,436.331278
17000.0,438.910354
17266.67,441.846196
17533.33,443.143324
17800.0,445.749452
