pressure,loading
1,0.00022
6901,2.06024
13801,4.16138
20701,6.52994
27601,8.87978
34501,11.38012
41401,14.01998
48301,16.85626
55201,19.6334
62101,22.68872
69001,26.9419
76000,31.586
82000,36.248425
85000,41.345125
88000,45.875575
91000,52.165925
92300,60.262942
94321.3,80.029432
97000,113.529785
100000,132.6316
101000,137.14991
102800,143.56096
104600,146.35724
106400,148.95067
111800,154.24579
117200,157.50833
123000,162.19452
132000,165.31463
141000,168.19377
150000,170.06015
