pressure,loading
1.0,0.00034
10870.52174,2.88864
32609.56522,8.61662
54348.6087,14.86544
76087.65217,20.47642
97826.69565,26.23998
119565.7391,32.22552
130435.2609,35.32056
152174.3043,42.4154
173913.3478,48.74514
195652.3913,56.67696
217391.4348,65.1675
228260.9565,69.59358
239130.4783,74.2807
250000.0,79.25868
251000.0,79.4929
264545.4545,86.98132
278090.9091,93.50514
291636.3636,103.88568
305181.8182,110.14824
318727.2727,121.33672
323900.0,138.080345
329000.0,161.4079867
330000.0,197.861543
330673.913,226.733822
330922.105,245.367352
332021.7391,254.6892075
333369.5652,360.3371935
334043.4783,371.973647
334717.3913,389.1229465
335391.3043,411.37796
336065.2174,414.182516
345500.0,424.594638
359363.6364,431.78476
372909.0909,439.42618
386454.5455,444.97216
400000.0,448.65224
401000.0,448.58464
409652.1739,452.16816
418304.3478,453.90034
426956.5217,456.77722
435608.6957,458.3856
444260.8696,460.67014
452913.0435,460.95902
461565.2174,463.65644
470217.3913,464.44828
478869.5652,467.5857
487521.7391,469.18494
496173.913,469.15212
504826.087,471.11768
513478.2609,471.97486
522130.4348,474.37708
530782.6087,474.84996
539434.7826,475.9049
548086.9565,477.71758
556739.1304,478.86106
565391.3043,479.69212
574043.4783,479.71594
582695.6522,480.32638
591347.8261,480.61234
600000.0,483.7252
