pressure,loading
1,0.00028
10870.52174,4.03734
21740.04348,8.22884
32609.56522,11.9532
43479.08696,16.06934
54348.6087,19.52932
65218.13043,23.87412
76087.65217,28.37246
86957.17391,32.60868
97826.69565,37.65472
108696.2174,41.45
119565.7391,46.67884
130435.2609,51.92034
141304.7826,57.61094
152174.3043,62.40638
163043.8261,68.6621
173913.3478,74.65376
184782.8696,82.7091
195652.3913,89.6768
206521.913,101.83184
217391.4348,115.01052
224750,123.377025
225200,451.48382
231913.0435,458.102046
239130.4783,460.6603
250000,465.83468
