pressure,loading
1.0,0.0004
2554.170213,0.97314
5107.340426,1.92358
7660.510638,2.90774
10213.68085,3.88482
12766.85106,5.05182
15320.02128,6.02546
17873.19149,6.86044
20426.3617,7.90318
22979.53191,8.90072
25532.70213,9.88046
28085.87234,11.0722
30639.04255,12.06038
33192.21277,13.12694
35745.38298,13.89222
38298.55319,14.92454
40851.7234,16.28188
43404.89362,17.25108
45958.06383,18.26626
48511.23404,19.29586
51064.40426,20.27522
53617.57447,21.5599
56170.74468,22.5943
58723.91489,23.88908
61277.08511,24.27924
63830.25532,26.05914
66383.42553,27.18854
68936.59574,28.66774
71489.76596,29.84428
74042.93617,31.5778
76596.10638,32.66254
79149.2766,34.04922
81702.44681,35.00826
84255.61702,37.22554
86808.78723,38.33732
89361.95745,40.39506
91915.12766,41.52442
94468.29787,43.0782
97021.46809,44.28814
99574.6383,47.3089
102127.8085,48.4289
104680.9787,51.04374
107234.1489,53.28868
109787.3191,54.7606
112340.4894,57.05374
114893.6596,59.12954
117446.8298,61.46512
120000.0,64.356
122727.2727,66.59872
125454.5455,71.96026
128181.8182,76.35808
130909.0909,78.4615
133636.3636,84.36048
135000.0,89.24964
136000.0,93.251256
137000.0,98.524698
138000.0,115.60928
138500.0,133.562416
139000.0,138.582336
139500.0,170.9170987
139900.0,180.7770387
140500.0,201.552236
141000.0,210.5363947
141100.0,228.29474
141790.9091,250.00892
143863.6364,255.88268
144545.4545,258.1305
147272.7273,263.4801
150000.0,266.48732
153000.0,268.84842
155000.0,271.559
158000.0,272.90392
160000.0,274.71422
162000.0,276.061
164000.0,278.23522
166000.0,279.06954
168000.0,280.77716
170000.0,281.92366
172000.0,282.84798
174000.0,283.7736
176000.0,284.731
178000.0,285.39908
180000.0,286.00428
182000.0,286.22312
184000.0,288.62902
186000.0,289.50274
188000.0,288.67592
190000.0,291.38942
192000.0,291.15686
194000.0,292.03406
196000.0,292.58428
198000.0,293.35904
200000.0,293.65994
