pressure,uptake
1.0,0.0018027290010404
8.532663316582916,0.0149428253794789
16.06532663316583,0.0273532957594278
23.597989949748744,0.0390932811132498
31.13065326633166,0.0502157229949788
38.663316582914575,0.0607681707274343
46.195979899497495,0.0707934649476886
53.72864321608041,0.0803303179072359
61.26130653266332,0.089413807884346
68.79396984924624,0.0980758021749399
76.32663316582915,0.1063453205846911
83.85929648241206,0.1142488491964415
91.39195979899498,0.1218106124130212
98.92462311557787,0.1290528098294808
106.4572864321608,0.1359958233177069
113.98994974874373,0.1426583987608008
121.52261306532664,0.149057806111005
129.05527638190955,0.1552099808272397
136.58793969849248,0.1611296492471974
144.12060301507535,0.1668304400406358
151.6532663316583,0.172324983556508
159.1859296482412,0.1776250006018967
166.71859296482413,0.1827413819637873
174.25125628140705,0.1876842597961467
181.78391959798995,0.1924630718374989
189.31658291457288,0.1970866192920495
196.84924623115575,0.2015631190961943
204.3819095477387,0.2059002511979852
211.91457286432163,0.210105201396888
219.44723618090453,0.2141847002227604
226.97989949748745,0.2181450582742439
234.51256281407035,0.2219921983861648
242.04522613065328,0.2257316849519712
249.5778894472362,0.2293687506893696
257.1105527638191,0.232908321104456
264.643216080402,0.2363550368810183
272.1758793969849,0.2397132743966376
279.70854271356785,0.2429871645452634
287.24120603015075,0.2461806100267768
294.7738693467337,0.2492973012469518
302.3065326633166,0.2523407309564617
309.8391959798995,0.2553142077442553
317.3718592964824,0.2582208684889827
324.9045226130653,0.2610636898618483
332.43718592964825,0.2638454989649647
339.96984924623115,0.2665689831812361
347.5025125628141,0.2692366993044229
355.035175879397,0.2718510820116847
362.5678391959799,0.2744144517349545
370.10050251256285,0.2769290219825315
377.63316582914575,0.2793969061575896
385.1658291457287,0.2818201239162076
392.6984924623116,0.2842006071039455
400.2311557788945,0.2865402053067656
407.7638190954774,0.2888406910491585
415.2964824120603,0.2911037646699753
422.82914572864325,0.2933310589042265
430.36180904522615,0.2955241431972377
437.89447236180905,0.2976845277760999
445.427135678392,0.2998136675020469
452.9597989949749,0.3019129655265745
460.4924623115578,0.303983776773473
468.0251256281407,0.3060274112688917
475.55778894472365,0.3080451373415889
483.09045226130655,0.3100381847165208
490.6231155778895,0.3120077475258813
498.1557788944724,0.3139549872638564
505.6884422110553,0.3158810357139079
513.2211055276382,0.3177869978810761
520.7537688442211,0.3196739549665055
528.286432160804,0.3215429674274218
535.819095477387,0.3233950781736339
543.3517587939699,0.3252313159612246
550.8844221105528,0.3270526990562477
558.4170854271357,0.3288602392563685
565.9497487437186,0.3306549463769599
573.4824120603015,0.3324378333311256
581.0150753768844,0.3342099219613372
588.5477386934674,0.3359722498148307
596.0804020100503,0.3377258780970966
603.6130653266332,0.3394719010891209
611.1457286432161,0.3412114573763647
618.678391959799,0.3429457433131674
626.2110552763819,0.3446760292377644
633.7437185929648,0.3464036790634853
641.2763819095478,0.3481301740047623
648.8090452261307,0.3498571413564191
656.3417085427136,0.3515863894362345
663.8743718592965,0.3533199500300275
671.4070351758794,0.3550601299515397
678.9396984924623,0.35680957365481
686.4723618090453,0.3585713392218875
694.0050251256282,0.360348990504791
701.5376884422111,0.3621467087372421
709.070351758794,0.3639694275613927
716.6030150753769,0.365822996150175
724.1356783919598,0.3677143759593145
731.6683417085427,0.3696518776279169
739.2010050251257,0.3716454456734023
746.7336683417086,0.373706999903284
754.2663316582915,0.3758508438951526
761.7989949748744,0.3780941524687546
769.3316582914573,0.3804575517679271
776.8643216080402,0.3829658073377115
784.3969849246231,0.3856486373438252
791.9296482412061,0.3885416697062574
799.462311557789,0.3916875632068715
806.9949748743719,0.3951373132846908
814.5276381909548,0.3989517628231127
822.0603015075377,0.4032033361556307
829.5929648241206,0.4079780099377774
837.1256281407035,0.413377526334273
844.6582914572865,0.4195218406880115
852.1909547738694,0.4265517756187367
859.7236180904523,0.4346318240952611
867.2562814070352,0.4439530028594273
874.7889447236181,0.4547356019590478
882.321608040201,0.4672316036982772
889.854271356784,0.4817264537631396
897.3869346733669,0.4985397597116723
904.9195979899498,0.5180243727047856
912.4522613065328,0.5405631891819177
919.9849246231156,0.5665629114319713
927.5175879396984,0.5964439628183594
935.0502512562814,0.6306258106590447
942.5829145728644,0.6695071632034707
950.1155778894472,0.7134409332662276
957.6482412060302,0.7627045365871493
965.1809045226132,0.8174670327621486
972.713567839196,0.8777556722260956
980.2462311557788,0.9434255470912398
987.7788944723618,1.0141367857831776
995.3115577889448,1.0893439273497094
1002.8442211055276,1.1683013668913254
1010.3768844221106,1.250087013130467
1017.9095477386936,1.333643706623285
1025.4422110552764,1.417835016791476
1032.9748743718594,1.5015094582246225
1040.5075376884422,1.583565644350908
1048.0402010050252,1.6630108456600423
1055.572864321608,1.739006837037832
1063.105527638191,1.810899376491552
1070.638190954774,1.87823048208923
1078.1708542713568,1.9407351940554884
1085.7035175879398,1.9983262623563205
1093.2361809045226,19.98893279586688
1100.7688442211056,20.02389773745784
1108.3015075376884,20.051985423419584
1115.8341708542714,20.075832442109423
1123.3668341708544,20.096982327581213
1130.8994974874372,20.116356161806294
1138.4321608040202,20.134514833212616
1145.964824120603,20.15180716750908
1153.497487437186,20.16845490860624
1161.0301507537688,20.18460227816197
1168.5628140703518,20.200345360475165
1176.0954773869348,20.215749812167207
1183.6281407035176,20.23086170691448
1191.1608040201006,20.245714280379183
1198.6934673366834,20.260332189713065
1206.2261306532664,20.274734244485717
1213.7587939698492,20.288935184446355
1221.2914572864322,20.302946854153998
1228.8241206030152,20.316778996549072
1236.356783919598,20.33043978577016
